procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 223907920  34520 33389676    0    1  1312  1942    0    0 26  5 63  6  0
 0 45      0 223470320  35676 33396936    0    0 223620 152448 81998 144785  4  2 66 28  0
 2 47      0 223163552  36820 33397904    0    0 276520 200172 81417 153059  4  2 60 35  0
 0 46      0 222907360  37828 33398320    0    0 240296 234560 76463 147051  4  2 60 35  0
10 42      0 222620192  38908 33399952    0    0 252516 227084 85096 162901  4  2 59 35  0
 6 38      0 222340320  40012 33401020    0    0 264360 210368 77079 154959  4  2 60 35  0
 9 43      0 222073472  41064 33402160    0    0 250756 224804 80399 162442  4  2 60 34  0
 5 42      0 221806256  42116 33403356    0    0 252664 226364 80894 164521  5  2 59 35  0
 0 44      0 221552032  43200 33403800    0    0 255976 220088 79174 158887  5  2 58 35  0
12 38      0 221262512  44316 33405744    0    0 255604 223328 82750 169992  4  2 59 35  0
 1 39      0 220996032  45372 33407084    0    0 242328 235808 87197 178760  5  2 58 36  0
12 41      0 220697200  46576 33408856    0    0 278724 200236 100921 209304  6  2 56 36  0
12 38      0 220285760  48248 33411236    0    0 386964 78176 142208 293848  8  3 55 34  0
11 38      0 219815552  50084 33414012    0    0 430672 36072 169853 351580 11  4 53 32  0
 1 40      0 219351792  51972 33416732    0    0 433408 33644 159597 331299 10  3 54 33  0
 5 46      0 218895728  53848 33419764    0    0 424944 38492 171907 345934 11  4 52 33  0
 7 35      0 218442496  55720 33422796    0    0 422164 44724 182244 373147 11  4 52 33  0
 8 41      0 217999072  57584 33425876    0    0 411472 53220 178488 370279 11  4 52 33  0
 7 40      0 217551200  59464 33429160    0    0 414784 49580 178817 372346 11  4 51 34  0
12 39      0 217084192  61392 33431224    0    0 430656 34340 193939 402173 13  5 50 32  0
14 33      0 216666800  63176 33433804    0    0 371892 95228 180558 375253 12  4 52 31  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10 33      0 216244208  65036 33437356    0    0 387968 77264 196007 408428 13  4 52 31  0
 3 41      0 215830528  66876 33440976    0    0 381344 85008 201741 420177 14  4 50 32  0
13 33      0 215417632  68696 33444920    0    0 380544 84856 210648 439128 14  5 48 33  0
10 36      0 214995680  70540 33449040    0    0 390448 75732 225437 470993 16  5 47 32  0
24 33      0 214582128  72344 33453204    0    0 379140 84148 219219 455186 15  5 48 32  0
18 36      0 214169216  74192 33457580    0    0 381376 84728 234037 489880 16  5 46 32  0
 7 34      0 213761120  75992 33462160    0    0 375776 91204 239623 502949 17  5 45 32  0
 1 45      0 213350176  77788 33466976    0    0 378592 88016 247150 518250 18  6 45 32  0
18 24      0 212930432  79656 33472252    0    0 385248 77376 268453 562564 19  6 42 32  0
14 30      0 212513920  81508 33477436    0    0 385236 81612 264694 555071 19  6 43 32  0
20 31      0 212102096  83300 33483212    0    0 377488 86804 289584 607963 21  7 40 32  0
14 29      0 211671328  84780 33489364    0    0 398000 67632 309569 649682 23  7 39 32  0
35 23      0 211265600  86072 33495388    0    0 374448 91828 296206 622577 22  6 39 33  0
20 30      0 210863584  87440 33501536    0    0 371184 95136 309583 651946 23  7 38 32  0
15 33      0 210454512  88732 33508124    0    0 375844 88480 319716 673453 24  7 37 32  0
18 29      0 210056080  89984 33514900    0    0 367152 95528 332303 701235 25  8 36 32  0
20 26      0 209646016  91276 33522056    0    0 378288 78924 348699 737910 26  8 35 31  0
24 28      0 209340608  92204 33527408    0    0 282948 192128 261236 552764 20  6 47 27  0
24 19      0 208931536  93496 33534864    0    0 377280 83736 362136 766274 28  8 34 30  0
26 28      0 208520608  94536 33542548    0    0 381504 79432 368672 781737 29  8 33 30  0
21 32      0 208114880  95308 33550396    0    0 375140 83680 377462 801698 30  9 32 29  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
33 13      0 207719568  96328 33558204    0    0 363344 95480 369451 783561 29  8 33 30  0
24 19      0 207368400  97148 33565312    0    0 326144 138316 338422 718724 27  7 38 28  0
37 23      0 206973344  98072 33573536    0    0 365412 92752 406700 870149 33 10 30 27  0
31 28      0 206568096  99240 33582388    0    0 373920 81596 426381 912204 35 11 28 26  0
29 28      0 206162976 100208 33591292    0    0 374256 80696 414389 885821 34 10 29 27  0
20 35      0 205759616 101496 33600316    0    0 372864 77192 437889 951157 37 11 28 24  0
26 28      0 205362688 102456 33609520    0    0 366944 85612 428634 924108 37 10 28 25  0
25 19      0 204962416 103508 33618840    0    0 371056 79572 444882 960490 38 11 27 24  0
28 23      0 204618176 104620 33627176    0    0 318992 135460 378092 814409 32  9 33 26  0
40 16      0 204274192 105744 33635580    0    0 319952 135388 397511 861525 34  9 31 26  0
40 25      0 203932832 107072 33643968    0    0 316276 138536 394001 845453 32  9 32 27  0
34 25      0 203687168 107932 33650192    0    0 228448 241908 288787 624475 24  7 44 25  0
34 21      0 203335488 108804 33659016    0    0 326084 128428 408459 881381 34 10 30 26  0
 4 28      0 202986880 110304 33667948    0    0 325232 127684 437220 902291 36 10 30 25  0
17 32      0 202644768 111240 33676788    0    0 318368 132056 449281 905774 35 10 30 25  0
44 14      0 202306880 111972 33685628    0    0 313936 140688 440151 879181 35 10 30 25  0
36 20      0 201965504 112940 33694556    0    0 318848 132544 459928 921896 37 11 29 24  0
41 11      0 201627168 113884 33703428    0    0 315296 133452 425085 919109 37 10 29 24  0
40 20      0 201289216 114760 33712652    0    0 314496 133184 423047 932028 37 11 29 23  0
36 16      0 200945440 115768 33722232    0    0 320784 126632 421944 941219 39 11 28 22  0
31 16      0 200604192 116540 33731612    0    0 319152 130264 427538 946910 38 10 28 23  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 200315488 117284 33739684    0    0 268404 178036 347522 780486 31  9 37 22  0
37 22      0 200007552 117920 33748244    0    0 289120 162260 395976 885198 36 10 32 22  0
47 10      0 199667904 118208 33757956    0    0 316960 130876 430048 960694 39 11 28 22  0
32 12      0 199421984 118884 33765060    0    0 229284 230632 324779 722851 29  8 41 22  0
37 17      0 199088816 119380 33774288    0    0 313824 134120 433729 975928 40 11 28 22  0
34 13      0 198753744 120212 33783976    0    0 311008 134584 433216 984017 40 11 28 21  0
44 13      0 198425120 120916 33793588    0    0 308980 134520 430801 977040 40 11 27 22  0
39 16      0 198087200 121912 33803600    0    0 315536 127656 442604 1007276 42 11 26 21  0
43 15      0 197760832 122876 33813276    0    0 306704 139036 436214 994677 41 11 27 21  0
44 12      0 197432576 123836 33823232    0    0 307392 136412 432274 982049 40 11 27 21  0
35 14      0 197100208 124872 33833296    0    0 309072 128984 443383 1042620 43 12 26 19  0
40 10      0 196771808 125880 33843476    0    0 306304 133480 435738 1003198 42 11 27 20  0
55 11      0 196437600 126516 33853676    0    0 313840 128256 445764 1028270 42 12 26 20  0
50 14      0 196179312 127092 33861604    0    0 241380 216068 345747 801100 33  9 38 19  0
46 17      0 195855872 127724 33871596    0    0 302736 137232 428449 991920 42 12 26 20  0
47 14      0 195528864 128392 33881852    0    0 304352 133692 438409 1033651 44 12 26 19  0
57  7      0 195203424 129012 33891272    0    0 304432 133808 435301 1030459 44 12 26 17  0
34 12      0 194890800 129560 33901256    0    0 290304 149984 420167 971556 40 11 28 21  0
 7 20      0 194590976 130052 33910916    0    0 280068 163236 417306 963281 40 11 29 21  0
24 25      0 194311456 130620 33919916    0    0 260320 185712 386069 902746 37 10 32 21  0
60  9      0 194007280 131096 33929840    0    0 286224 151348 426885 1005918 42 11 27 19  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
49 11      0 193691072 131624 33940088    0    0 293424 143704 432914 1027449 43 12 26 19  0
