procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 225400800  35312 33330568    0    0  1663  2338    0    0 28  6 59  7  0
 8 42      0 224971296  36456 33338324    0    0 213108 150500 82119 147265  4  2 68 26  0
 1 48      0 224675920  37520 33339188    0    0 267748 208176 79063 146764  5  2 59 35  0
 7 40      0 224406464  38560 33340208    0    0 245448 229668 80000 150499  5  2 59 35  0
 2 46      0 224129216  39628 33341392    0    0 252776 225684 80967 158798  4  2 59 35  0
 0 46      0 223848720  40748 33342572    0    0 261444 214976 82353 164346  4  2 59 35  0
 1 46      0 223584112  41804 33343720    0    0 247144 234336 80559 160254  4  2 58 36  0
 5 44      0 223314048  42896 33344988    0    0 253976 221252 81778 165972  5  2 59 34  0
 4 42      0 223046448  43968 33346268    0    0 249380 228296 81116 165725  5  2 58 35  0
 5 44      0 222784064  45064 33347560    0    0 247688 233496 86047 173692  5  2 57 36  0
 1 47      0 222522912  46120 33348940    0    0 233992 240828 82948 170691  6  2 57 35  0
 5 44      0 222206992  47388 33350408    0    0 298820 170992 100068 205535  6  2 58 35  0
 6 40      0 221787744  49084 33352748    0    0 391616 75312 141233 291299  8  3 55 34  0
 5 42      0 221334160  50952 33355528    0    0 423364 43844 164177 339392 10  3 54 33  0
 8 49      0 220873248  52840 33358312    0    0 434720 31408 156384 323732  9  4 54 33  0
 7 42      0 220413328  54720 33361312    0    0 428080 36296 165935 343515 10  4 53 33  0
 5 45      0 219956272  56596 33364320    0    0 427632 37500 167951 348327 11  4 52 33  0
12 35      0 219510736  58452 33367528    0    0 413008 52116 177568 369672 11  4 52 33  0
12 39      0 219071040  60304 33370960    0    0 408084 57932 175843 365240 11  4 52 33  0
14 32      0 218623136  62136 33373936    0    0 397792 68076 184765 383368 12  4 52 32  0
10 37      0 218204272  63980 33377196    0    0 387776 79084 187678 390739 12  4 51 33  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8 29      0 217776720  65820 33380936    0    0 394304 70792 199844 415276 13  4 50 32  0
12 36      0 217360704  67644 33384740    0    0 383680 83104 202106 417371 14  4 48 33  0
13 33      0 216933392  69472 33388720    0    0 394196 70112 211625 440651 15  5 48 33  0
 2 35      0 216505728  71336 33392920    0    0 394880 70500 221802 462142 16  5 47 33  0
27 32      0 216089824  73152 33397328    0    0 383312 83192 242282 479626 16  5 47 32  0
20 29      0 215670944  75016 33401704    0    0 386144 80072 238106 469938 16  5 47 33  0
13 29      0 215266960  76812 33406424    0    0 369904 96272 234609 490050 17  5 45 33  0
14 30      0 214843616  78672 33411252    0    0 390580 73108 242101 505943 17  5 45 32  0
 6 37      0 214424992  80512 33416476    0    0 385104 81848 275497 577059 20  6 42 32  0
18 28      0 213999552  82364 33422124    0    0 390512 72960 283023 592428 21  7 41 32  0
15 34      0 213580048  84200 33427840    0    0 387200 76984 293612 615510 22  7 41 31  0
25 23      0 213166032  85620 33433708    0    0 379344 85904 298088 625787 22  7 40 32  0
13 33      0 212761248  86880 33438716    0    0 371060 94188 297591 625730 22  7 40 32  0
21 32      0 212348704  88228 33445076    0    0 380096 83228 307818 649316 23  7 38 32  0
27 25      0 211942352  89592 33451760    0    0 374176 91136 326828 687782 24  7 37 32  0
13 34      0 211528944  90972 33458608    0    0 381840 79588 321244 675827 24  8 36 32  0
28 17      0 211110048  92256 33465808    0    0 385952 75348 348002 732360 27  8 35 30  0
25 23      0 210807232  93248 33471120    0    0 281156 193320 260172 549826 20  6 46 29  0
26 23      0 210385760  94616 33479072    0    0 387540 71780 373725 789280 30  8 33 29  0
30 23      0 209976176  95612 33486948    0    0 379312 80588 371500 786938 29  9 33 29  0
36 17      0 209572064  96692 33494540    0    0 373920 84564 380873 807881 30  9 32 29  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
